"intStCode","strStName","intClassCode","strClassName","strFormCode","strFormName","strMacroCode","strMacroName","intEcoSysCode","strEcoSysName","intAcres","intSqMiles","numPercent"
"12","Florida",1,"Forest & Woodland","1.A.1","Tropical Dry Forest & Woodland","M134","Caribbean Coastal Lowland Dry Forest",4132,"South Florida Hardwood Hammock","1851.88186032564","2.89356540677963",".004400"
"12","Florida",1,"Forest & Woodland","1.A.1","Tropical Dry Forest & Woodland","M134","Caribbean Coastal Lowland Dry Forest",4135,"Southeast Florida Coastal Strand and Maritime Hammock","5386.18071036708","8.41590736000911",".012900"
"12","Florida",1,"Forest & Woodland","1.A.1","Tropical Dry Forest & Woodland","M134","Caribbean Coastal Lowland Dry Forest",4134,"Southwest Florida Coastal Strand and Maritime Hammock","401.86748187924",".62791794044083",".000900"
"12","Florida",1,"Forest & Woodland","1.A.4","Tropical Flooded & Swamp Forest","M617","Caribbean Swamp",9238,"South Florida Bayhead Swamp","84991.74769223112","132.79960577006654",".204700"
"12","Florida",1,"Forest & Woodland","1.A.4","Tropical Flooded & Swamp Forest","M617","Caribbean Swamp",9702,"South Florida Cypress Dome","217214.37783970392","339.39746537697914",".523300"
"12","Florida",1,"Forest & Woodland","1.A.4","Tropical Flooded & Swamp Forest","M617","Caribbean Swamp",9305,"South Florida Dwarf Cypress Savanna","161659.25639899464","252.59258812524638",".389500"
"12","Florida",1,"Forest & Woodland","1.A.5","Mangrove","M005","Western Atlantic & Caribbean Mangrove",9236,"South Florida Mangrove Swamp","639538.18219720416","999.27840969032072","1.540900"
"48","Texas",1,"Forest & Woodland","1.B.1","Warm Temperate Forest & Woodland","M007","Longleaf Pine Woodland",4553,"Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland - Offsite Hardwood",".44478968664",".00069498388538",".000000"
"12","Florida",1,"Forest & Woodland","1.B.1","Warm Temperate Forest & Woodland","M007","Longleaf Pine Woodland",4553,"Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland - Offsite Hardwood","324.02928671724",".50629576049933",".000700"
"22","Louisiana",1,"Forest & Woodland","1.B.1","Warm Temperate Forest & Woodland","M007","Longleaf Pine Woodland",4553,"Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland - Offsite Hardwood","1211.82950125068","1.89348359571781",".003600"
